"","Barrio","Clase.de.sitio","Código.DANE","New.DANE","EncBarrios","NewSitio"
"99","LA JULITA SECTOR","VIAS PUBLICAS","ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES","19","59","1"
"100","LA JULITA SECTOR","VIAS PUBLICAS","ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES","19","59","1"
"101","LA JULITA SECTOR","VIAS PUBLICAS","ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES","19","59","1"
"102","LA JULITA SECTOR","VIAS PUBLICAS","ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES","19","59","1"
"103","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","54","1"
"104","KENNEDY","TRANSPORTE PUBLICO URBANO","ARTÍCULO 239. HURTO PERSONAS","6","60","14"
"105","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","6","1"
"106","JARDIN II","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","61","1"
"107","CIUDADELA TOKIO","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","62","1"
"108","EL TRIUNFO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","45","6"
"109","EL TRIUNFO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","45","6"
"110","EL TRIUNFO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","45","6"
"111","EL TRIUNFO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","45","6"
"112","EL TRIUNFO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","45","6"
"113","JARDIN DE VELEZ Y VELEZ","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","9","1"
"114","CORREG. (PTO CALDAS)","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","52","1"
"115","TRAVESURAS-LA CHURRIA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","28","1"
"116","LA PAZ CENTRO","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","22","1"
